[16-Jan-2017 22:55:11 UTC] PHP Parse error:  syntax error, unexpected '\' (T_NS_SEPARATOR) in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 121
[17-Jan-2017 04:05:52 UTC] PHP Parse error:  syntax error, unexpected '<' in /home/ubuntu/workspace/newmas/storage/framework/views/63400b36f48adc41f1a4bde02b8cf797186debd5.php on line 26
[17-Jan-2017 22:06:39 UTC] PHP Parse error:  syntax error, unexpected '||' (T_BOOLEAN_OR) in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 112
[17-Jan-2017 22:22:25 UTC] PHP Parse error:  syntax error, unexpected '}' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 114
[17-Jan-2017 22:50:12 UTC] PHP Parse error:  syntax error, unexpected '(', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/newmas/storage/framework/views/63400b36f48adc41f1a4bde02b8cf797186debd5.php on line 57
[17-Jan-2017 22:53:23 UTC] PHP Parse error:  syntax error, unexpected ')' in /home/ubuntu/workspace/newmas/storage/framework/views/63400b36f48adc41f1a4bde02b8cf797186debd5.php on line 57
[17-Jan-2017 23:13:59 UTC] PHP Fatal error:  Call to a member function Count() on array in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 114
[17-Jan-2017 23:14:33 UTC] PHP Parse error:  syntax error, unexpected '"COUNT(sent)"' (T_CONSTANT_ENCAPSED_STRING), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 114
[17-Jan-2017 23:14:54 UTC] PHP Parse error:  syntax error, unexpected '[', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 114
[18-Jan-2017 18:19:52 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\VendorController::returnvendor() in /home/ubuntu/workspace/newmas/app/Http/Controllers/VendorController.php on line 49
[18-Jan-2017 22:45:53 UTC] PHP Parse error:  syntax error, unexpected ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/OrdersController.php on line 86
[19-Jan-2017 18:15:18 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /home/ubuntu/workspace/newmas/app/Http/Controllers/VendorController.php on line 120
[19-Jan-2017 18:15:18 UTC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN) in /home/ubuntu/workspace/newmas/app/Http/Controllers/VendorController.php on line 120
[19-Jan-2017 18:22:41 UTC] PHP Parse error:  syntax error, unexpected ')', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/newmas/storage/framework/views/207ead44a4959436dea9f1743474b121d288f4a6.php on line 23
[19-Jan-2017 18:22:41 UTC] PHP Parse error:  syntax error, unexpected ')', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /home/ubuntu/workspace/newmas/storage/framework/views/207ead44a4959436dea9f1743474b121d288f4a6.php on line 23
[19-Jan-2017 21:35:57 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\VendorController::savevendor() in /home/ubuntu/workspace/newmas/app/Http/Controllers/VendorController.php on line 99
[26-Jan-2017 21:05:38 UTC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in /home/ubuntu/workspace/newmas/app/Http/Controllers/StockController.php on line 257
[26-Jan-2017 21:20:10 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/newmas/storage/framework/views/c2c4e4346c121db2bdcc0fc1fe9892d9cbef2826.php on line 27
[26-Jan-2017 21:20:43 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/newmas/storage/framework/views/c2c4e4346c121db2bdcc0fc1fe9892d9cbef2826.php on line 27
[26-Jan-2017 21:20:48 UTC] PHP Fatal error:  Cannot use object of type stdClass as array in /home/ubuntu/workspace/newmas/storage/framework/views/c2c4e4346c121db2bdcc0fc1fe9892d9cbef2826.php on line 27
[26-Jan-2017 21:42:34 UTC] PHP Fatal error:  Class 'App\Http\Controllers\DB' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/StockController.php on line 30
[26-Jan-2017 21:42:44 UTC] PHP Parse error:  syntax error, unexpected '\' (T_NS_SEPARATOR), expecting identifier (T_STRING) in /home/ubuntu/workspace/newmas/app/Http/Controllers/StockController.php on line 30
[27-Jan-2017 18:05:23 UTC] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 117
[02-Feb-2017 17:50:24 UTC] PHP Fatal error:  Class 'App\Http\Controllers\PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 17:50:24 UTC] PHP Fatal error:  Class 'App\Http\Controllers\PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 17:50:37 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 17:50:38 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 17:54:12 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 17:54:12 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 18:01:01 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 18:01:01 UTC] PHP Fatal error:  Class 'PDF' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 137
[02-Feb-2017 18:13:31 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Mail' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 139
[02-Feb-2017 18:13:31 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Mail' not found in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 139
[02-Feb-2017 18:15:16 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting '{' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 143
[02-Feb-2017 18:15:16 UTC] PHP Parse error:  syntax error, unexpected 'use' (T_USE), expecting '{' in /home/ubuntu/workspace/newmas/app/Http/Controllers/POController.php on line 143
[03-Feb-2017 16:14:11 UTC] PHP Parse error:  syntax error, unexpected '{' in /home/ubuntu/workspace/newmas/storage/framework/views/bb710d40ccc91a044e7e0050ca1d4ceb62c8d6b7.php on line 110
[20-Feb-2017 23:11:27 UTC] PHP Fatal error:  Cannot redeclare class App\Http\Controllers\HomeController in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 0
[21-Feb-2017 22:17:40 UTC] PHP Parse error:  syntax error, unexpected ')', expecting '(' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 30
[21-Feb-2017 22:52:10 UTC] PHP Parse error:  syntax error, unexpected '{' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 33
[21-Feb-2017 22:52:24 UTC] PHP Parse error:  syntax error, unexpected '{' in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 33
[21-Feb-2017 23:05:07 UTC] PHP Parse error:  syntax error, unexpected ')', expecting ']' in /home/ubuntu/workspace/newmas/storage/framework/views/fe0cd495e150ec4f56207a68cd429eac6fb453bf.php on line 17
[22-Feb-2017 04:12:33 UTC] PHP Fatal error:  Class 'Form' not found in /home/ubuntu/workspace/newmas/storage/framework/views/6b8a3536a07d4cc6d79bf04496838ef56d5cd682.php on line 11
[22-Feb-2017 04:24:17 UTC] PHP Parse error:  syntax error, unexpected '02' (T_LNUMBER) in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 52
[22-Feb-2017 04:26:16 UTC] PHP Parse error:  syntax error, unexpected ''-01'' (T_CONSTANT_ENCAPSED_STRING) in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 51
[22-Feb-2017 04:27:26 UTC] PHP Parse error:  syntax error, unexpected ''-01'' (T_CONSTANT_ENCAPSED_STRING) in /home/ubuntu/workspace/newmas/app/Http/Controllers/ReportsController.php on line 52
