productcode,productprice
19RS001,2.67
19RS002,2.67
19RS003,3.25
19RS004,3.73
19RS005,4.18
19RS006,4.97
19RS007,6.12
19RS008,7.68
19RS009,8.79
19RS010,10.19
19RS011,12.39
19RS012,15.59
19RS013,17.79
19RS014,19.49
19RS015,10.69
19RS016,11.49
19RS102,2.67
19RS103,3.25
19RS104,3.73
19RS105,4.18
19RS106,4.97
19RS107,6.12
19RS108,7.68
19RS109,8.79
19RS110,10.19
19RS111,12.39
19RS112,15.59
19RS113,17.79
19RS114,19.49
19RS115,10.69
19RS116,11.49
19RS202,2.67
19RS203,3.25
19RS204,3.73
19RS205,4.18
19RS206,4.97
19RS207,6.12
19RS208,7.68
19RS209,8.79
19RS210,10.19
19RS211,12.39
19RS212,15.59
19RS213,17.79
19RS214,19.49
19RS215,10.69
19RS216,11.49
19RS302,2.67
19RS303,3.25
19RS304,3.73
19RS305,4.18
19RS306,4.97
19RS307,6.12
19RS308,7.68
19RS309,8.79
19RS310,10.19
19RS311,12.39
19RS312,15.59
19RS313,17.79
19RS314,19.49
19RS315,10.69
19RS316,11.49
19RS402,2.67
19RS403,3.25
19RS404,3.73
19RS405,4.18
19RS406,4.97
19RS407,6.12
19RS408,7.68
19RS409,8.79
19RS410,10.19
19RS411,12.39
19RS412,15.59
19RS413,17.79
19RS414,19.49
19RS415,10.69
19RS416,11.49
19RS502,2.67
19RS503,3.25
19RS504,3.73
19RS505,4.18
19RS506,4.97
19RS507,6.12
19RS508,7.68
19RS509,8.79
19RS510,10.19
19RS511,12.39
19RS512,15.59
19RS513,17.79
19RS514,19.49
19RS515,10.69
19RS516,11.49
19RS601,3.25
19RS604,3.73
19RS605,4.18
19RS607,6.12
19RS608,7.68
19RS609,8.79
19RS702,2.67
19RS703,3.25
19RS704,3.73
19RS705,4.18
19RS706,4.97
19RS707,6.12
19RS708,7.68
19RS709,8.79
19RS710,10.19
19RS711,12.39
19RS712,15.59
19RS713,17.79
19RS714,19.49
19RS715,10.69
19RS716,11.49
19RS802,2.67
19RS803,3.25
