ACCO USA,bnvorders@acco.com,,Account #1228,PO Box 203412,Dallas,TX,75320-3412,USA,800-541-0094,800-941-4463
Acroprint Time Recorder Co.,sales@acroprint.com,,Trimega TPA #313,5640 Departure Drive,Raleigh,NC,27616-1841,USA,919-872-5800,919-850-0720
AKILES PRODUCTS INC,orders@akiles.com,,11158 Venture Drive,,Mira Loma,CA,91752-1194,USA,800-453-3997,909-923-2003
Block & Co,rbawoll@blockinc.com,,,1111 S. Wheeling,Wheeling,IL,60090,USA,(800) 323-7556,
Adlam Films,cabbott@adlamfilms.com,,Dept. # R9,P O BOX 830525,Birmingham,AL,35283-0525,USA,800-238-6563,800-852-4805
Canyon State Oil Co Inc.,,,Canyon State Oil,PO Box 18490,Phoenix,AZ,85005,USA,505-344-5566,505-344-5577
CARL International,order@carlmfg.com,,100 Pierce Rd Ste 100,,Itasca,IL,60143,USA,800-257-4771,847-519-0533
Carnation Inc.,orders@carnation-inc.com,,Attn:  Simeon Khazin,8630 National Ave,Niles,IL,60714,USA,800-296-2779,815-301-6729
Cassida Corporation,orders@cassidausa.com,,19636 SW 90th Court,,Tualatin,OR,97062,USA,503-691-8300,888-887-9040
Clark Security (AMSEC),norman.eberle@clarksecurity.com,,Attn:  Accounts Receivable,P O Box 847428,Dallas,TX,75284-7428,USA,303-574-2742,303-288-5946
Coverbind,,,Attn: Accts Receivable,PO Box 644911,Pittsburgh,PA,15264-4911,USA,800-366-6060,910-799-3935
DAHLE,orders@dahle.com,,ATTN: Christine Haase,49 Vose Farm Road,Peterborough,NH,3458,USA,800-995-1379,(603) 924-1616
DataBind Corp,jgasperini@data-bind.com,,72 Shaker Road Bldg 9,,Enfield,CT,6082,USA,(860) 265-8151,
DYNAFOLD USA INC.,dynafold@aol.com,**must fax PO**,ATTN:  ACCOUNTS PAYABLE,7439 LA PALMA AVE. #200,BUENA PARK,CA,90620,USA,(800) 443-9501,562-864-8008
FORMAX,mpupino@formax.com,,ATTN: ACCOUNTS RECEIVABLE,1 EDUCATION WAY,Dover,NH,3820,USA,603-749-5807,603-743-6366
FOSTER MANUFACTURING CO,Customerservice@fostermfg.com,,ATTN: ORDERS/CUSTOMER SERV.,204 B Progress Drive,Montgomeryville,PA,18936,USA,800-523-4855,267-413-6227
GENERAL BINDING CORP,dealers@gbc.com,,PO BOX 71361,,CHICAGO,IL,60694-1361,USA,(800) 723-4000,800-463-2714
Hollon Safe Company,margo@hollonsafe.com,,,227 44th Street,Corpus Christi,TX,78405,USA,(888) 455-2337,
HSM,chris.allegra@hsmofamerica.com  ,,,419 Boot Rd,Downingtown,PA,19335,USA,800-613-2110,484-237-2309
Intimus North America,sales.us@intimus.com,,Department 78909,PO Box 357,Wabash,IN,46992,USA,(800) 775-2122,(844) 563-7720
KAPCO GRAPHIC PRODUCTS CO,,,1000 CHERRY STREET,P.O. BOX 628,KENT,OH,44240-0011,USA,800.843.5368,800.451.3724
Karl Williams Inc.,creinertkwg@yahoo.com,,2920 S MacArthur Blvd,,Springfield,IL,62704,USA,800-723-3854,217-528-0827
Klopp International,dnelson@kloppcoin.com,,251 Dunbar Ave,PO Box 985,Oldsmar,FL,34677-0985,USA,800-356-9080,813-854-3069
LASSCO,info@lasscowizer.com,,ATTN:  ACCOUNTS RECEIVABLE,485 HAGUE STREET,ROCHESTER,NY,14606-1296,USA,800-854-6595,800-854-6585
Logan Graphic Products,cs@logangraphic.com,,1100 Brown Street,,Wauconda,IL,60084,USA,800-331-6232,800-331-6329
Magner,bdonahue@magner.com,,41 West Street,,Middlefield,CT,6455,USA,860-349-1097,860-349-1257
MARTIN-YALE INDUSTRIES INC.,orders@martinyale.com,,,PO BOX 78000,Detroit,MI,48278-0909,USA,800-225-5644,800-248-2329
MBM CORPORATION,genad@mbmcorp.com,,ATTN: ACCOUNTS RECEIVABLE,3134 INDUSTRY DRIVE,N CHARLESTON,SC,29418,USA,800-223-2508,843-552-2974
MMF Industries,cshadley@mlbgwb.com,,,1995  Momentum,Chicago,IL,60689-5319,USA,800-323-8181,847-537-1120
N F String & Son Inc,kperez@nfstring.com,jmcneil@nfstring.com,1380 Howard St,,Harrisburg,PA,17104,USA,800-233-0563,717-234-2449
PERFORMANCE DESIGN INC.,orders@pdibind.com,marym@pdibind.com,ATTN:  ACCOUNTS RECEIVABLE,2350 EAST BRANIFF,BOISE,ID,83716,USA,800-390-5782,800-390-5783
Pro-Bind,emily.restel@pro-bind.com,jeff.kohn@pro-bind.com,Attn:  Accounts Payable,15290 S Keeler,Olathe,KS,66062,USA,888-747-2150,913-747-2155
Pro Pack Inc.,m.khan@shrinkfilm.com,,,"500 West Main Street, Unit 12",Wyckoff,NJ,7481,USA,201-337-1001,201-337-5001
Protex Safe Company,orders@protexsafe.com,,,8445 Canoga Avenue,Canoga Park,CA,91304,USA,818-773-8030,818-773-8003
PVC SPIRAL SUPPLY,cjmcgowan@pvcspiralsupply.com,sales@pvcspiralsupply.com,ATTN:  ACCOUNTS RECEIVABLE,123 E. 45TH STREET,BOISE,ID,83714,USA,800-461-9301,208-377-3759
Quality Commercial Machines,sales@qcmcorp.com,,800 Spindletree Ave STE100,attn: Accts. Payable,Naperville,IL,60565,USA,888-866-9726,630-355-0986
